id,mean,median,min,max,sd,type,landcover,geometry
rural_933,0.18307525430836044,0.1970987239021618,-0.115941791931043,0.4814053151971336,0.1444642563962567,rural,20,"c(1.5673128895118, 9.57558514708121)"
rural_934,0.1477912196278505,0.1655368393258112,-0.1304323579403525,0.3807000543469548,0.13726461717533472,rural,20,"c(34.3118373508449, -15.1826220919461)"
rural_935,0.2527871924029699,0.23915356810161903,-0.0714499236921379,1.5921369650498234,0.26001671527193515,rural,30,"c(-2.03412014728133, 12.0276594966886)"
rural_936,0.17303289930814586,0.172637262155825,-0.1377640634707181,0.8373916912198016,0.15995082220454446,rural,10,"c(14.6837616852187, -6.46384972829548)"
rural_937,0.1633489645861172,0.178375154192907,-0.1658240635900466,0.4752742733007612,0.1395371869608841,rural,20,"c(42.3061136380221, 5.68029468236209)"
rural_938,0.16404133956026992,0.15395052829658168,-0.1548776615514154,0.8533986370910248,0.15803537870159493,rural,10,"c(13.9398725282267, 3.71788855154898)"
rural_939,0.20535139641819322,0.1999313965165053,-0.1041107138406957,0.969825148755711,0.1596948043614365,rural,20,"c(39.2814238892803, 0.171226353420852)"
rural_94,0.22445623795260994,0.23278159723100533,-0.0632779302046864,0.5089853529821329,0.12370145955203776,rural,60,"c(-2.61321063910199, 21.5493598585146)"
rural_940,0.2060981403359278,0.23223483177823429,-0.0628225332438289,0.4762214789331387,0.12648270464309552,rural,30,"c(-6.04050469899356, 16.1134335122211)"
rural_941,0.21275542118323074,0.22977841458583692,-0.0611088538831684,0.4559554697625569,0.11389365267335803,rural,60,"c(-4.53249340040501, 23.514064546919)"
rural_942,0.18977549923675638,0.19332554542875324,-0.1276547458386744,0.6078240294607297,0.14725826092235655,rural,30,"c(36.5782827587447, -1.85267636154298)"
rural_943,0.20332282784931346,0.21105559976350957,-0.1210944609565092,0.5165952255060127,0.1394549486526448,rural,10,"c(-11.5185102379416, 7.23327116572325)"
rural_944,0.14805365526078704,0.1393500483619557,-0.1455798805894372,0.5534779932830539,0.14633886352016784,rural,10,"c(12.9962871302087, 5.57555189439465)"
