site_name,site_type,date_commissioned,image_date,image_value,mean_image_value,min_image_value,max_image_value,site_id,year_commissioned,year_image,month_commissioned,month_image,group,time_period
tree_29,tree,2014-01-01,2019-09-01,0.1652540844705485,0.2402479340176515,-0.44294939428645846,0.9234452623217616,102,2014,2019,1,9,0,68
tree_30,tree,2014-01-01,2019-09-01,0.1509525322729496,0.24069214365401495,-0.44250518465009503,0.9238894719581248,104,2014,2019,1,9,0,68
tree_31,tree,2014-01-01,2019-09-01,0.1741985168613251,0.26343705933565237,-0.4197602689684576,0.9466343876397624,105,2014,2019,1,9,0,68
tree_32,tree,2014-01-01,2019-09-01,0.144057131408899,0.20312514023419684,-0.48007218806991314,0.8863224685383068,106,2014,2019,1,9,0,68
tree_33,tree,2014-01-01,2019-09-01,0.0790841521412931,0.2179566845081665,-0.4652406437959435,0.9011540128122764,107,2014,2019,1,9,0,68
tree_34,tree,2014-01-01,2019-09-01,0.1470827204571825,0.22316488522151903,-0.46003244308259095,0.906362213525629,108,2014,2019,1,9,0,68
tree_35,tree,2014-01-01,2019-09-01,0.2020263785902017,0.19015846573921005,-0.4930388625648999,0.87335579404332,109,2014,2019,1,9,0,68
tree_36,tree,2014-01-01,2019-09-01,0.2089331977546406,0.1955549631071296,-0.48764236519698034,0.8787522914112396,110,2014,2019,1,9,0,68
tree_37,tree,2014-01-01,2019-09-01,0.1381371421849843,0.2232365897204118,-0.4599607385836981,0.9064339180245218,111,2014,2019,1,9,0,68
tree_38,tree,2014-01-01,2019-09-01,0.1799068222408318,0.2068521119946949,-0.47634521630941506,0.8900494402988048,112,2014,2019,1,9,0,68
tree_39,tree,2014-01-01,2019-09-01,0.1342903267724876,0.20830195843157348,-0.4748953698725365,0.8914992867356835,113,2014,2019,1,9,0,68
tree_40,tree,2014-01-01,2019-09-01,0.0974482376165717,0.4221498518997111,-0.26104747640439885,1.105347180203821,115,2014,2019,1,9,0,68
tree_41,tree,2014-01-01,2019-09-01,0.153742497476546,0.26055652884465474,-0.4226407994594552,0.9437538571487648,116,2014,2019,1,9,0,68
tree_42,tree,2014-01-01,2019-09-01,0.1350937792145768,0.2626369619104255,-0.4205603663936845,0.9458342902145356,117,2014,2019,1,9,0,68
tree_43,tree,2014-01-01,2019-09-01,0.197558989939123,0.21006846571147825,-0.4731288625926317,0.8932657940155881,118,2014,2019,1,9,0,68
tree_44,tree,2014-01-01,2019-09-01,0.2191676247794204,0.23882043908914932,-0.44437688921496066,0.9220177673932592,119,2014,2019,1,9,0,68
tree_45,tree,2014-01-01,2019-09-01,0.1802516007247655,0.1968536362578048,-0.4863436920463052,0.8800509645619148,120,2014,2019,1,9,0,68
tree_46,tree,2014-01-01,2019-09-01,0.0910717271218073,0.2091654160525304,-0.47403191225157953,0.8923627443566404,121,2014,2019,1,9,0,68
tree_47,tree,2014-01-01,2019-09-01,0.1999818707218645,0.21074924961045463,-0.4724480786936553,0.8939465779145646,122,2014,2019,1,9,0,68
tree_48,tree,2014-01-01,2019-09-01,0.2424111265562141,0.2155312041718945,-0.4676661241322154,0.8987285324760045,123,2014,2019,1,9,0,68
tree_49,tree,2014-01-01,2019-09-01,0.1802074025616732,0.19708879902930557,-0.4861085292748044,0.8802861273334155,124,2014,2019,1,9,0,68
tree_50,tree,2014-01-01,2019-09-01,0.1572057327717137,0.20260961065649571,-0.4805877176476142,0.8858069389606057,126,2014,2019,1,9,0,68
tree_51,tree,2014-01-01,2019-09-01,0.3354072894159352,0.2059793748643486,-0.47721795343976137,0.8891767031684585,127,2014,2019,1,9,0,68
tree_52,tree,2014-01-01,2019-09-01,0,0.2664366813203302,-0.41676064698377974,0.9496340096244402,128,2014,2019,1,9,0,68
tree_53,tree,2014-01-01,2019-09-01,0.181139784887233,0.22536838589674507,-0.4578289424073649,0.908565714200855,129,2014,2019,1,9,0,68
tree_54,tree,2014-01-01,2019-09-01,0.0800558862436344,0.208296502254918,-0.4749008260491919,0.891493830559028,130,2014,2019,1,9,0,68
tree_0,tree,2014-01-01,2019-10-01,0.2151257849341996,0.25398987244467014,-0.4292074558594398,0.93718720074878,80,2014,2019,1,10,0,69
tree_1,tree,2014-01-01,2019-10-01,0.4430350288509944,0.23763950916756793,-0.445557819136542,0.920836837471678,81,2014,2019,1,10,0,69
tree_2,tree,2014-01-01,2019-10-01,0.3357468757843146,0.20925047017778023,-0.4739468581263297,0.8924477984818902,92,2014,2019,1,10,0,69
tree_3,tree,2014-01-01,2019-10-01,0.2883081881472545,0.20567965530344923,-0.4775176730006607,0.8888769836075592,103,2014,2019,1,10,0,69
tree_4,tree,2014-01-01,2019-10-01,0.230345705394014,0.201780376966838,-0.4814169513372719,0.884977705270948,114,2014,2019,1,10,0,69
tree_5,tree,2014-01-01,2019-10-01,0.3322307344114147,0.24596762740859987,-0.43722970089551005,0.92916495571271,125,2014,2019,1,10,0,69
tree_6,tree,2014-01-01,2019-10-01,0.2293784250258244,0.19614922787930816,-0.48704810042480184,0.8793465561834181,131,2014,2019,1,10,0,69
tree_7,tree,2014-01-01,2019-10-01,0.2457285032762401,0.22065971864712336,-0.4625376096569866,0.9038570469512331,132,2014,2019,1,10,0,69
tree_8,tree,2014-01-01,2019-10-01,0.2647687119549082,0.22024804314827584,-0.4629492851558341,0.9034453714523858,133,2014,2019,1,10,0,69
tree_9,tree,2014-01-01,2019-10-01,0.2968607797262552,0.2066558921981465,-0.47654143610596345,0.8898532205022565,134,2014,2019,1,10,0,69
tree_10,tree,2014-01-01,2019-10-01,0.2804082135391393,0.2134168211403355,-0.46978050716377445,0.8966141494444455,82,2014,2019,1,10,0,69
tree_11,tree,2014-01-01,2019-10-01,0.2504531380589603,0.22039722700936032,-0.4628001012947496,0.9035945553134704,83,2014,2019,1,10,0,69
tree_12,tree,2014-01-01,2019-10-01,0.3299382340410762,0.2019421466106771,-0.4812551816934328,0.8851394749147871,84,2014,2019,1,10,0,69
tree_13,tree,2014-01-01,2019-10-01,0.2481887715993067,0.21508243080322276,-0.4681148975008872,0.8982797591073327,85,2014,2019,1,10,0,69
tree_14,tree,2014-01-01,2019-10-01,0.3612084558413231,0.204602611321553,-0.47859471698255696,0.887799939625663,86,2014,2019,1,10,0,69
tree_15,tree,2014-01-01,2019-10-01,0.342243593861918,0.2122490989264463,-0.4709482293776637,0.8954464272305562,87,2014,2019,1,10,0,69
tree_16,tree,2014-01-01,2019-10-01,0.3794461148156375,0.20542906948166664,-0.47776825882244334,0.8886263977857766,88,2014,2019,1,10,0,69
tree_17,tree,2014-01-01,2019-10-01,0.3647337547327567,0.20444999049275636,-0.4787473378113536,0.8876473187968663,89,2014,2019,1,10,0,69
tree_18,tree,2014-01-01,2019-10-01,0.1975966161697366,0.2079087902425157,-0.4752885380615942,0.8911061185466257,90,2014,2019,1,10,0,69
tree_19,tree,2014-01-01,2019-10-01,0.334999065906883,0.22281001104456863,-0.4603873172595413,0.9060073393486786,91,2014,2019,1,10,0,69
tree_20,tree,2014-01-01,2019-10-01,0.2581284329878422,0.2420150211581639,-0.4411823071459461,0.9252123494622738,93,2014,2019,1,10,0,69
tree_21,tree,2014-01-01,2019-10-01,0.4920829065989937,0.20763090560077407,-0.4755664227033359,0.8908282339048841,94,2014,2019,1,10,0,69
tree_22,tree,2014-01-01,2019-10-01,0.3432465124056813,0.2504913899810563,-0.4327059383230537,0.9336887182851664,95,2014,2019,1,10,0,69
tree_23,tree,2014-01-01,2019-10-01,0.2704377595974216,0.21125556802122736,-0.4719417602828826,0.8944528963253373,96,2014,2019,1,10,0,69
tree_24,tree,2014-01-01,2019-10-01,0.262282828586985,0.32154463599673766,-0.3616526923073723,1.0047419643008475,97,2014,2019,1,10,0,69
tree_25,tree,2014-01-01,2019-10-01,0.2135188755426618,0.21634245312823508,-0.4668548751758749,0.899539781432345,98,2014,2019,1,10,0,69
tree_26,tree,2014-01-01,2019-10-01,0.2777660259983885,0.19958587349496337,-0.4836114548091466,0.8827832017990733,99,2014,2019,1,10,0,69
tree_27,tree,2014-01-01,2019-10-01,0.2383542284656224,0.2663618256833411,-0.4168355026207689,0.949559153987451,100,2014,2019,1,10,0,69
tree_28,tree,2014-01-01,2019-10-01,0.3322227881104744,0.2074945425784819,-0.4757027857256281,0.8906918708825918,101,2014,2019,1,10,0,69
tree_29,tree,2014-01-01,2019-10-01,0.264861012339378,0.2402479340176515,-0.44294939428645846,0.9234452623217616,102,2014,2019,1,10,0,69
tree_30,tree,2014-01-01,2019-10-01,0.453482430400849,0.24069214365401495,-0.44250518465009503,0.9238894719581248,104,2014,2019,1,10,0,69
tree_31,tree,2014-01-01,2019-10-01,0.2383498416554461,0.26343705933565237,-0.4197602689684576,0.9466343876397624,105,2014,2019,1,10,0,69
tree_32,tree,2014-01-01,2019-10-01,0.3517617748768994,0.20312514023419684,-0.48007218806991314,0.8863224685383068,106,2014,2019,1,10,0,69
tree_33,tree,2014-01-01,2019-10-01,0.2205579933900827,0.2179566845081665,-0.4652406437959435,0.9011540128122764,107,2014,2019,1,10,0,69
tree_34,tree,2014-01-01,2019-10-01,0.2676843344388819,0.22316488522151903,-0.46003244308259095,0.906362213525629,108,2014,2019,1,10,0,69
tree_35,tree,2014-01-01,2019-10-01,0.4272799207789056,0.19015846573921005,-0.4930388625648999,0.87335579404332,109,2014,2019,1,10,0,69
tree_36,tree,2014-01-01,2019-10-01,0.3343570425526427,0.1955549631071296,-0.48764236519698034,0.8787522914112396,110,2014,2019,1,10,0,69
tree_37,tree,2014-01-01,2019-10-01,0.3844445483005429,0.2232365897204118,-0.4599607385836981,0.9064339180245218,111,2014,2019,1,10,0,69
tree_38,tree,2014-01-01,2019-10-01,0.4226028423716699,0.2068521119946949,-0.47634521630941506,0.8900494402988048,112,2014,2019,1,10,0,69
tree_39,tree,2014-01-01,2019-10-01,0.5439372953533377,0.20830195843157348,-0.4748953698725365,0.8914992867356835,113,2014,2019,1,10,0,69
tree_40,tree,2014-01-01,2019-10-01,0.2629563123016959,0.4221498518997111,-0.26104747640439885,1.105347180203821,115,2014,2019,1,10,0,69
tree_41,tree,2014-01-01,2019-10-01,0.1737938643078436,0.26055652884465474,-0.4226407994594552,0.9437538571487648,116,2014,2019,1,10,0,69
tree_42,tree,2014-01-01,2019-10-01,0.2729137215110316,0.2626369619104255,-0.4205603663936845,0.9458342902145356,117,2014,2019,1,10,0,69
tree_43,tree,2014-01-01,2019-10-01,0.3035446012527262,0.21006846571147825,-0.4731288625926317,0.8932657940155881,118,2014,2019,1,10,0,69
tree_44,tree,2014-01-01,2019-10-01,0.2161569624877761,0.23882043908914932,-0.44437688921496066,0.9220177673932592,119,2014,2019,1,10,0,69
tree_45,tree,2014-01-01,2019-10-01,0.3063312662443423,0.1968536362578048,-0.4863436920463052,0.8800509645619148,120,2014,2019,1,10,0,69
tree_46,tree,2014-01-01,2019-10-01,0.4836896024494355,0.2091654160525304,-0.47403191225157953,0.8923627443566404,121,2014,2019,1,10,0,69
tree_47,tree,2014-01-01,2019-10-01,0.3287891567397556,0.21074924961045463,-0.4724480786936553,0.8939465779145646,122,2014,2019,1,10,0,69
tree_48,tree,2014-01-01,2019-10-01,0.2560791975876545,0.2155312041718945,-0.4676661241322154,0.8987285324760045,123,2014,2019,1,10,0,69
tree_49,tree,2014-01-01,2019-10-01,0.3423838110165692,0.19708879902930557,-0.4861085292748044,0.8802861273334155,124,2014,2019,1,10,0,69
tree_50,tree,2014-01-01,2019-10-01,0.2928495201435852,0.20260961065649571,-0.4805877176476142,0.8858069389606057,126,2014,2019,1,10,0,69
tree_51,tree,2014-01-01,2019-10-01,0.3176403667179139,0.2059793748643486,-0.47721795343976137,0.8891767031684585,127,2014,2019,1,10,0,69
tree_52,tree,2014-01-01,2019-10-01,0.3638206372996141,0.2664366813203302,-0.41676064698377974,0.9496340096244402,128,2014,2019,1,10,0,69
tree_53,tree,2014-01-01,2019-10-01,0.2478970223478384,0.22536838589674507,-0.4578289424073649,0.908565714200855,129,2014,2019,1,10,0,69
tree_54,tree,2014-01-01,2019-10-01,0.2444739887917002,0.208296502254918,-0.4749008260491919,0.891493830559028,130,2014,2019,1,10,0,69
tree_0,tree,2014-01-01,2019-11-01,0.1149932829785202,0.25398987244467014,-0.4292074558594398,0.93718720074878,80,2014,2019,1,11,0,70
tree_1,tree,2014-01-01,2019-11-01,0.1983104948183696,0.23763950916756793,-0.445557819136542,0.920836837471678,81,2014,2019,1,11,0,70
tree_2,tree,2014-01-01,2019-11-01,0.1167808539193845,0.20925047017778023,-0.4739468581263297,0.8924477984818902,92,2014,2019,1,11,0,70
tree_3,tree,2014-01-01,2019-11-01,0.1161922793752893,0.20567965530344923,-0.4775176730006607,0.8888769836075592,103,2014,2019,1,11,0,70
tree_4,tree,2014-01-01,2019-11-01,0.0911936172745695,0.201780376966838,-0.4814169513372719,0.884977705270948,114,2014,2019,1,11,0,70
tree_5,tree,2014-01-01,2019-11-01,0.0705572235340297,0.24596762740859987,-0.43722970089551005,0.92916495571271,125,2014,2019,1,11,0,70
tree_6,tree,2014-01-01,2019-11-01,0.1500593013972715,0.19614922787930816,-0.48704810042480184,0.8793465561834181,131,2014,2019,1,11,0,70
tree_7,tree,2014-01-01,2019-11-01,0.1374543355995528,0.22065971864712336,-0.4625376096569866,0.9038570469512331,132,2014,2019,1,11,0,70
tree_8,tree,2014-01-01,2019-11-01,0.1064568361900947,0.22024804314827584,-0.4629492851558341,0.9034453714523858,133,2014,2019,1,11,0,70
tree_9,tree,2014-01-01,2019-11-01,0.147566467167794,0.2066558921981465,-0.47654143610596345,0.8898532205022565,134,2014,2019,1,11,0,70
tree_10,tree,2014-01-01,2019-11-01,0.085139567211721,0.2134168211403355,-0.46978050716377445,0.8966141494444455,82,2014,2019,1,11,0,70
tree_11,tree,2014-01-01,2019-11-01,0.1401317049252762,0.22039722700936032,-0.4628001012947496,0.9035945553134704,83,2014,2019,1,11,0,70
tree_12,tree,2014-01-01,2019-11-01,0.1586057813586088,0.2019421466106771,-0.4812551816934328,0.8851394749147871,84,2014,2019,1,11,0,70
tree_13,tree,2014-01-01,2019-11-01,0.0584043084708361,0.21508243080322276,-0.4681148975008872,0.8982797591073327,85,2014,2019,1,11,0,70
tree_14,tree,2014-01-01,2019-11-01,0.1023612136021396,0.204602611321553,-0.47859471698255696,0.887799939625663,86,2014,2019,1,11,0,70
tree_15,tree,2014-01-01,2019-11-01,0.1284690420108388,0.2122490989264463,-0.4709482293776637,0.8954464272305562,87,2014,2019,1,11,0,70
tree_16,tree,2014-01-01,2019-11-01,0.1486225598677201,0.20542906948166664,-0.47776825882244334,0.8886263977857766,88,2014,2019,1,11,0,70
tree_17,tree,2014-01-01,2019-11-01,0.1536888902773066,0.20444999049275636,-0.4787473378113536,0.8876473187968663,89,2014,2019,1,11,0,70
tree_18,tree,2014-01-01,2019-11-01,0.1254756509152113,0.2079087902425157,-0.4752885380615942,0.8911061185466257,90,2014,2019,1,11,0,70
tree_19,tree,2014-01-01,2019-11-01,0.1353967325266084,0.22281001104456863,-0.4603873172595413,0.9060073393486786,91,2014,2019,1,11,0,70
tree_20,tree,2014-01-01,2019-11-01,0.1058190675740864,0.2420150211581639,-0.4411823071459461,0.9252123494622738,93,2014,2019,1,11,0,70
tree_21,tree,2014-01-01,2019-11-01,0.1186820131606599,0.20763090560077407,-0.4755664227033359,0.8908282339048841,94,2014,2019,1,11,0,70
tree_22,tree,2014-01-01,2019-11-01,0.1043025342879796,0.2504913899810563,-0.4327059383230537,0.9336887182851664,95,2014,2019,1,11,0,70
tree_23,tree,2014-01-01,2019-11-01,0.1584989979427748,0.21125556802122736,-0.4719417602828826,0.8944528963253373,96,2014,2019,1,11,0,70
tree_24,tree,2014-01-01,2019-11-01,0.1072253385450234,0.32154463599673766,-0.3616526923073723,1.0047419643008475,97,2014,2019,1,11,0,70
tree_25,tree,2014-01-01,2019-11-01,0.1542445833889176,0.21634245312823508,-0.4668548751758749,0.899539781432345,98,2014,2019,1,11,0,70
tree_26,tree,2014-01-01,2019-11-01,0.1589635840939673,0.19958587349496337,-0.4836114548091466,0.8827832017990733,99,2014,2019,1,11,0,70
tree_27,tree,2014-01-01,2019-11-01,0.147481628492704,0.2663618256833411,-0.4168355026207689,0.949559153987451,100,2014,2019,1,11,0,70
tree_28,tree,2014-01-01,2019-11-01,0.1401008777697,0.2074945425784819,-0.4757027857256281,0.8906918708825918,101,2014,2019,1,11,0,70
tree_29,tree,2014-01-01,2019-11-01,0.1294606525302787,0.2402479340176515,-0.44294939428645846,0.9234452623217616,102,2014,2019,1,11,0,70
tree_30,tree,2014-01-01,2019-11-01,0.12315666188648659,0.24069214365401495,-0.44250518465009503,0.9238894719581248,104,2014,2019,1,11,0,70
tree_31,tree,2014-01-01,2019-11-01,0.1097167871261477,0.26343705933565237,-0.4197602689684576,0.9466343876397624,105,2014,2019,1,11,0,70
tree_32,tree,2014-01-01,2019-11-01,0.1341966386217745,0.20312514023419684,-0.48007218806991314,0.8863224685383068,106,2014,2019,1,11,0,70
