id,center,image_date,image_value,type
water_18,"[-12.100381792913568, 8.069901635684584]",2023-01-01,0.1497109152493696,water
water_19,"[-10.779858325253915, 8.060918482844635]",2023-01-01,0.1674408810583187,water
water_20,"[-10.851723548002868, 7.989053260113526]",2023-01-01,0.2793107804879619,water
water_21,"[-11.552409469607992, 7.890238578863231]",2023-01-01,0.1537901978007106,water
water_22,"[-10.995453993464041, 7.890238578863123]",2023-01-01,0.2015016077689801,water
water_23,"[-12.468691059386448, 7.8093902033019535]",2023-01-01,0.1570196905660384,water
water_24,"[-12.441741600869154, 7.773457591919722]",2023-01-01,0.2005860107302914,water
water_25,"[-12.405808989535196, 7.76447443908566]",2023-01-01,0.5543474376464553,water
water_26,"[-11.911735583261247, 7.737524980562998]",2023-01-01,0.6370346918371796,water
water_27,"[-12.423775295221285, 7.728541827713449]",2023-01-01,0.1966541966970106,water
water_28,"[-12.396825836693882, 7.719558674878638]",2023-01-01,0.2192117875344231,water
water_29,"[-12.306994308285407, 7.656676604990729]",2023-01-01,0.8528272446847944,water
water_30,"[-13.043612841263386, 7.647693452148886]",2023-01-01,0.1470813938205638,water
water_31,"[-12.684286727620973, 7.638710299305395]",2023-01-01,0.1516222658492848,water
water_32,"[-12.630387810576774, 7.638710299317635]",2023-01-01,0.207807141079422,water
water_33,"[-12.001567111681483, 7.620743993632853]",2023-01-01,0.1728334278050866,water
water_34,"[-12.558522587852336, 7.6117608407887]",2023-01-01,0.162245412095422,water
water_35,"[-12.603438352042737, 7.602777687946637]",2023-01-01,0.1722021065128602,water
water_36,"[-12.531573129311692, 7.602777687945088]",2023-01-01,0.1332895604556065,water
water_37,"[-12.522589976472553, 7.557861923742937]",2023-01-01,0.1736670209617728,water
water_38,"[-12.387842683862766, 7.530912465216971]",2023-01-01,0.1483291633836705,water
water_39,"[-12.477674212277792, 7.521929312366954]",2023-01-01,0.1862586231028108,water
water_40,"[-12.567505740686972, 7.432097783962978]",2023-01-01,0.1559490442781805,water
water_41,"[-12.43275844807948, 7.4141314782702015]",2023-01-01,0.1508327402759425,water
water_42,"[-12.3339437668326, 7.378198866912815]",2023-01-01,0.208726654693802,water
water_43,"[-12.208179627045473, 7.360232561241698]",2023-01-01,0.1546130600083306,water
water_44,"[-12.019533417392697, 7.252434727128357]",2023-01-01,0.1998447649860882,water
water_45,"[-11.723089373642267, 7.189552657250459]",2023-01-01,0.1740267910373429,water
water_46,"[-11.723089373635066, 7.180569504401877]",2023-01-01,0.1872957633108171,water
water_47,"[-11.696139915112719, 7.1805695044085365]",2023-01-01,0.140042101145474,water
water_48,"[-11.516476858288623, 7.180569504403723]",2023-01-01,0.1722640941614962,water
water_49,"[-11.705123067960347, 7.17158635157053]",2023-01-01,0.1599283770067596,water
water_50,"[-11.696139915113449, 7.162603198724094]",2023-01-01,0.1534013906547953,water
water_51,"[-11.830887207734873, 7.153620045877145]",2023-01-01,0.1554781613488889,water
water_52,"[-11.759021984998498, 7.126670587344687]",2023-01-01,0.1677082282531917,water
water_53,"[-11.54342631682305, 7.009889600421488]",2023-01-01,0.1694481924191039,water
water_0,"[-12.666320421819876, 9.004149531159928]",2023-02-01,0.2618800777968642,water
water_1,"[-13.23225905083299, 8.95923376696415]",2023-02-01,0.2716784416660422,water
water_2,"[-12.792084561613684, 8.941267461291122]",2023-02-01,0.267738933420667,water
water_3,"[-13.124461216741897, 8.923301155597281]",2023-02-01,0.2636698611046667,water
water_4,"[-13.043612841166503, 8.923301155604603]",2023-02-01,0.2355104330313893,water
water_5,"[-13.23225905084012, 8.914318002754365]",2023-02-01,0.2429171715166274,water
water_6,"[-13.14242752241716, 8.905334849912931]",2023-02-01,0.2611379360538434,water
water_7,"[-13.088528605379402, 8.84245278003203]",2023-02-01,0.2626574221786424,water
water_8,"[-12.95378131275941, 8.84245278002366]",2023-02-01,0.2579679001464928,water
water_9,"[-12.935815007084505, 8.842452780012373]",2023-02-01,0.2707746052279391,water
water_10,"[-12.96276446559519, 8.833469627186803]",2023-02-01,0.2525313528894705,water
water_11,"[-12.055466028685446, 8.51905927773385]",2023-02-01,0.2972429866257363,water
water_12,"[-12.94479815997975, 8.258547845352313]",2023-02-01,0.2828188903415293,water
water_13,"[-12.055466028691816, 8.240581539665405]",2023-02-01,0.3975716638891095,water
water_14,"[-12.944798159973324, 8.159733164099736]",2023-02-01,0.2584370287369488,water
water_15,"[-11.23799912014679, 8.132783705572672]",2023-02-01,0.3093622330051985,water
water_16,"[-12.863949784393467, 8.087867941373343]",2023-02-01,0.2709028946407907,water
water_17,"[-12.819034020208475, 8.087867941376794]",2023-02-01,0.2608153327953397,water
water_18,"[-12.100381792913568, 8.069901635684584]",2023-02-01,0.2849672078073619,water
water_19,"[-10.779858325253915, 8.060918482844635]",2023-02-01,0.3029796753215353,water
water_20,"[-10.851723548002868, 7.989053260113526]",2023-02-01,0.314312405602536,water
water_21,"[-11.552409469607992, 7.890238578863231]",2023-02-01,0.2880126677671275,water
water_22,"[-10.995453993464041, 7.890238578863123]",2023-02-01,0.2626652145827037,water
water_23,"[-12.468691059386448, 7.8093902033019535]",2023-02-01,0.2762651116868155,water
water_24,"[-12.441741600869154, 7.773457591919722]",2023-02-01,0.2957113896691939,water
water_25,"[-12.405808989535196, 7.76447443908566]",2023-02-01,0.6015870081483938,water
water_26,"[-11.911735583261247, 7.737524980562998]",2023-02-01,0.5717671895404324,water
water_27,"[-12.423775295221285, 7.728541827713449]",2023-02-01,0.2701066528707734,water
water_28,"[-12.396825836693882, 7.719558674878638]",2023-02-01,0.3133719058591749,water
water_29,"[-12.306994308285407, 7.656676604990729]",2023-02-01,1.02528075398695,water
water_30,"[-13.043612841263386, 7.647693452148886]",2023-02-01,0.256412106518526,water
water_31,"[-12.684286727620973, 7.638710299305395]",2023-02-01,0.2710863491472451,water
water_32,"[-12.630387810576774, 7.638710299317635]",2023-02-01,0.2888525656803229,water
water_33,"[-12.001567111681483, 7.620743993632853]",2023-02-01,0.2776867234791029,water
water_34,"[-12.558522587852336, 7.6117608407887]",2023-02-01,0.2695291719914066,water
water_35,"[-12.603438352042737, 7.602777687946637]",2023-02-01,0.2543027946371066,water
water_36,"[-12.531573129311692, 7.602777687945088]",2023-02-01,0.2888404344114831,water
water_37,"[-12.522589976472553, 7.557861923742937]",2023-02-01,0.2810553767408421,water
water_38,"[-12.387842683862766, 7.530912465216971]",2023-02-01,0.28058237293953753,water
water_39,"[-12.477674212277792, 7.521929312366954]",2023-02-01,0.2547298001152062,water
water_40,"[-12.567505740686972, 7.432097783962978]",2023-02-01,0.2600273419997173,water
water_41,"[-12.43275844807948, 7.4141314782702015]",2023-02-01,0.2873330245933095,water
water_42,"[-12.3339437668326, 7.378198866912815]",2023-02-01,0.2998215407961099,water
water_43,"[-12.208179627045473, 7.360232561241698]",2023-02-01,0.29125800622845,water
water_44,"[-12.019533417392697, 7.252434727128357]",2023-02-01,0.2887131254613554,water
water_45,"[-11.723089373642267, 7.189552657250459]",2023-02-01,0.2904214086522194,water
water_46,"[-11.723089373635066, 7.180569504401877]",2023-02-01,0.2851554933388096,water
water_47,"[-11.696139915112719, 7.1805695044085365]",2023-02-01,0.314787535740519,water
water_48,"[-11.516476858288623, 7.180569504403723]",2023-02-01,0.2812048284558081,water
water_49,"[-11.705123067960347, 7.17158635157053]",2023-02-01,0.3388589923664136,water
water_50,"[-11.696139915113449, 7.162603198724094]",2023-02-01,0.3179767287830366,water
