id,center,image_date,image_value,type,mean_image_value,min_image_value,max_image_value
water_26,"[-11.911735583261247, 7.737524980562998]",2022-01-01,0.4348262481124112,water,0.269893368890463,-0.41330395941364695,0.953090697194573
water_27,"[-12.423775295221285, 7.728541827713449]",2022-01-01,0.1882705429448439,water,0.20761165822125419,-0.4755856700828558,0.8908089865253641
water_28,"[-12.396825836693882, 7.719558674878638]",2022-01-01,0.2192363199449343,water,0.2322456163354446,-0.45095171196866535,0.9154429446395546
water_29,"[-12.306994308285407, 7.656676604990729]",2022-01-01,0.947173455545577,water,0.8726942616821226,0.18949693337801266,1.5558915899862327
water_30,"[-13.043612841263386, 7.647693452148886]",2022-01-01,0.182735026920055,water,0.1857879604677862,-0.4974093678363237,0.8689852887718962
water_31,"[-12.684286727620973, 7.638710299305395]",2022-01-01,0.1607886620237539,water,0.1948990192492757,-0.4882983090548343,0.8780963475533856
water_32,"[-12.630387810576774, 7.638710299317635]",2022-01-01,0.1564372375259355,water,0.1917318237327134,-0.49146550457139654,0.8749291520368234
water_33,"[-12.001567111681483, 7.620743993632853]",2022-01-01,0.2096772622310536,water,0.20869620378345735,-0.47450112452065263,0.8918935320875673
water_34,"[-12.558522587852336, 7.6117608407887]",2022-01-01,0.1518640245187637,water,0.20210175892366652,-0.4810955693804434,0.8852990872277765
water_35,"[-12.603438352042737, 7.602777687946637]",2022-01-01,0.1549879806257994,water,0.1995126147376907,-0.4836847135664193,0.8827099430418006
water_36,"[-12.531573129311692, 7.602777687945088]",2022-01-01,0.1639266061960098,water,0.1992728804885228,-0.4839244478155872,0.8824702087926327
water_37,"[-12.522589976472553, 7.557861923742937]",2022-01-01,0.1221432279801211,water,0.20292094029810034,-0.4802763880060096,0.8861182686022103
water_38,"[-12.387842683862766, 7.530912465216971]",2022-01-01,0.1553062624216992,water,0.20245845438759327,-0.4807388739165167,0.8856557826917032
water_39,"[-12.477674212277792, 7.521929312366954]",2022-01-01,0.1866895917168107,water,0.2176422183833806,-0.46555510992072935,0.9008395466874906
water_40,"[-12.567505740686972, 7.432097783962978]",2022-01-01,0.1638669707734995,water,0.1908332673538096,-0.4923640609503004,0.8740305956579195
water_41,"[-12.43275844807948, 7.4141314782702015]",2022-01-01,0.897625656394666,water,0.214428328090556,-0.46876900021355394,0.897625656394666
water_42,"[-12.3339437668326, 7.378198866912815]",2022-01-01,0.2566940449382881,water,0.20387647832570863,-0.4793208499784013,0.8870738066298186
water_43,"[-12.208179627045473, 7.360232561241698]",2022-01-01,0.2040127828465548,water,0.21359162535082593,-0.469605702953284,0.8967889536549358
water_44,"[-12.019533417392697, 7.252434727128357]",2022-01-01,0.187184475106634,water,0.21176942462855133,-0.47142790367555865,0.8949667529326613
water_45,"[-11.723089373642267, 7.189552657250459]",2022-01-01,0.1669340408315075,water,0.19667002367319952,-0.48652730463091043,0.8798673519773095
water_46,"[-11.723089373635066, 7.180569504401877]",2022-01-01,0.1782604412421352,water,0.195284167326025,-0.48791316097808496,0.878481495630135
water_47,"[-11.696139915112719, 7.1805695044085365]",2022-01-01,0.1542886951186601,water,0.19316287793577078,-0.49003445036833915,0.8763602062398808
water_48,"[-11.516476858288623, 7.180569504403723]",2022-01-01,0.1599384181753335,water,0.2121320403744222,-0.4710652879296877,0.8953293686785322
water_49,"[-11.705123067960347, 7.17158635157053]",2022-01-01,0.1294406621754303,water,0.18579323080561316,-0.4974040974984968,0.8689905591097231
water_50,"[-11.696139915113449, 7.162603198724094]",2022-01-01,0.1582604975688495,water,0.1926344762676484,-0.49056285203646155,0.8758318045717584
water_51,"[-11.830887207734873, 7.153620045877145]",2022-01-01,0.1841277588581021,water,0.20886997864849835,-0.47432734965561163,0.8920673069526083
water_52,"[-11.759021984998498, 7.126670587344687]",2022-01-01,0.1671990748694065,water,0.1936305569074828,-0.4895667713966272,0.8768278852115927
water_53,"[-11.54342631682305, 7.009889600421488]",2022-01-01,0.19365257079049,water,0.21485385467116552,-0.46834347363294443,0.8980511829752755
water_0,"[-12.666320421819876, 9.004149531159928]",2022-02-01,0.2637837334877489,water,0.20463030766564327,-0.4785670206384667,0.8878276359697532
water_1,"[-13.23225905083299, 8.95923376696415]",2022-02-01,0.2330934572855184,water,0.1881691106690297,-0.49502821763508026,0.8713664389731397
water_2,"[-12.792084561613684, 8.941267461291122]",2022-02-01,0.2362511320053999,water,0.1978675075561552,-0.4853298207479547,0.8810648358602652
water_3,"[-13.124461216741897, 8.923301155597281]",2022-02-01,0.2453272002793537,water,0.18883258494572258,-0.49436474335838737,0.8720299132498326
water_4,"[-13.043612841166503, 8.923301155604603]",2022-02-01,0.2461018302273617,water,0.20417868960624996,-0.47901863869786,0.8873760179103599
water_5,"[-13.23225905084012, 8.914318002754365]",2022-02-01,0.2674774479013865,water,0.19050003041850672,-0.49269729788560324,0.8736973587226167
water_6,"[-13.14242752241716, 8.905334849912931]",2022-02-01,0.2654386299835447,water,0.1909163698502933,-0.49228095845381664,0.8741136981544033
water_7,"[-13.088528605379402, 8.84245278003203]",2022-02-01,0.2405387844063541,water,0.1900091079578626,-0.4931882203462473,0.8732064362619726
